"Asset Amount","Asset Name","Received Date","Date Sold","Proceeds (USD)","Cost Basis (USD)","Gain (USD)","Type"
24.22051113,ZRX,07/03/2021,11/15/2022,4.28695208,21.26514768,-16.97819559,Long Term
50.00000000,ZRX,07/03/2021,11/15/2022,8.84983818,43.89904813,-35.04920995,Long Term
4.66728983,ZRX,07/03/2021,11/15/2022,0.82609519,4.09779162,-3.27169642,Long Term
3.28359282,ZRX,07/03/2021,11/15/2022,0.58118530,2.88293198,-2.30174668,Long Term
1.83928605,ZRX,07/03/2021,11/15/2022,0.32554768,1.61485814,-1.28931046,Long Term
15.00000000,ZRX,07/03/2021,11/15/2022,2.65495145,13.16971444,-10.51476299,Long Term
3.31957174,ZRX,09/18/2021,04/21/2022,3.63327127,3.74539115,-0.11211988,Short Term
11.68042826,ZRX,09/20/2021,04/21/2022,12.78422873,11.39437682,1.38985191,Short Term
8.42042826,ZRX,09/20/2021,11/15/2022,1.49038855,8.21421360,-6.72382505,Long Term
10.65228191,ZRX,09/20/2021,11/15/2022,1.88541942,10.39140958,-8.50599016,Long Term
18.22000000,ZRX,09/27/2021,11/15/2022,3.22488103,17.66328593,-14.43840490,Long Term
0.00692568,ZRX,09/27/2021,11/15/2022,0.00122582,0.00671407,-0.00548824,Long Term
8.88087528,ZRX,09/28/2021,11/15/2022,1.57188618,8.64000000,-7.06811382,Long Term
5.21384672,ZRX,09/28/2021,11/15/2022,0.92283399,4.57531099,-3.65247699,Long Term
9.78615328,ZRX,09/28/2021,11/15/2022,1.73211746,8.59081783,-6.85870038,Long Term
35.77948887,ZRX,09/28/2021,11/15/2022,6.33285373,31.40918217,-25.07632844,Long Term
0.47395601,ZRX,12/04/2021,01/17/2022,0.33688696,0.41613116,-0.07924420,Short Term
10.00000000,ZRX,12/04/2021,11/15/2022,1.76996764,8.77995316,-7.00998552,Short Term
18.00000000,ZRX,12/04/2021,11/15/2022,3.18594174,15.80391568,-12.61797394,Short Term
30.12000000,ZRX,12/05/2021,11/15/2022,5.33114252,25.14467328,-19.81353076,Short Term
0.00153000,ZRX,12/05/2021,11/15/2022,0.00027081,0.00127727,-0.00100646,Short Term
44.50000000,ZRX,12/05/2021,11/15/2022,7.87635598,37.01957848,-29.14322250,Short Term
0.00561000,ZRX,12/05/2021,11/15/2022,0.00099295,0.00466696,-0.00367401,Short Term
2.39640982,ZRX,12/06/2021,11/15/2022,0.42415678,1.94000000,-1.51584322,Short Term
2.67500501,ZRX,12/06/2021,11/15/2022,0.47346723,2.20000000,-1.72653277,Short Term
1.67097626,ZRX,12/06/2021,11/15/2022,0.29575739,1.35000000,-1.05424261,Short Term
30.91513000,ZRX,12/11/2021,11/15/2022,5.47187795,25.98534649,-20.51346853,Short Term
28.62346000,ZRX,12/12/2021,11/15/2022,5.06625978,24.14505892,-19.07879914,Short Term
22.55000000,ZRX,12/14/2021,11/15/2022,3.99127702,17.14300497,-13.15172796,Short Term
0.00118000,ZRX,12/14/2021,11/15/2022,0.00020886,0.00089706,-0.00068821,Short Term
25.70801000,ZRX,12/14/2021,11/15/2022,4.55023457,20.00319383,-15.45295927,Short Term
11.10000000,ADA,12/02/2021,01/09/2022,13.07116575,19.49144460,-6.42027885,Short Term
0.03750000,ADA,01/04/2022,01/04/2022,0.05001375,0.05001375,0.00000000,Short Term
37.40000000,ADA,01/04/2022,01/04/2022,50.09208000,49.93031031,0.16176969,Short Term
2.00948600,ADA,07/18/2022,07/18/2022,1.23307887,1.23307887,0.00000000,Short Term
21.37460000,AUST,01/08/2022,04/05/2022,0.00000000,0.00000000,0.00000000,Short Term
0.00000001,ETH,07/19/2021,09/09/2022,0.00001029,0.00001305,-0.00000276,Long Term
0.00202208,ETH,07/20/2021,01/17/2022,6.50280012,4.74378662,1.75901350,Short Term
0.00548093,ETH,07/20/2021,01/17/2022,17.62612815,12.80643897,4.81968917,Short Term
0.00405391,ETH,12/13/2021,05/12/2022,7.45421761,15.84781091,-8.39359330,Short Term
0.00657252,ETH,12/14/2021,05/12/2022,12.08536804,25.02386102,-12.93849298,Short Term
0.00071143,ETH,12/14/2021,05/12/2022,1.30815781,2.70991797,-1.40176016,Short Term
0.00449406,ETH,12/14/2021,05/12/2022,8.26355326,17.13726911,-8.87371584,Short Term
0.01051877,ETH,12/14/2021,05/12/2022,19.34162342,40.20562424,-20.86400082,Short Term
0.00622000,ETH,12/24/2021,01/17/2022,10.57608472,25.28147578,-14.70539107,Short Term
0.00493438,ETH,12/28/2021,01/09/2022,15.59277555,21.16727945,-5.57450389,Short Term
0.01507923,ETH,12/28/2021,01/09/2022,47.65081978,64.68625260,-17.03543282,Short Term
0.00557139,ETH,12/28/2021,01/17/2022,9.47323617,23.89993045,-14.42669428,Short Term
0.00210000,ETH,01/09/2022,01/16/2022,7.05321033,7.01820000,0.03501033,Short Term
0.00390000,ETH,01/09/2022,01/17/2022,12.94719564,13.03380000,-0.08660436,Short Term
0.00312378,ETH,01/09/2022,01/17/2022,10.04577331,11.28372970,-1.23795639,Short Term
0.00087622,ETH,01/09/2022,01/17/2022,2.81783023,3.16507586,-0.34724564,Short Term
0.00100000,ETH,01/12/2022,05/12/2022,1.83877235,3.39385250,-1.55508015,Short Term
0.00641217,ETH,01/12/2022,05/12/2022,11.79052089,21.76215347,-9.97163258,Short Term
0.01574456,ETH,01/16/2022,01/17/2022,26.77102316,59.86110753,-33.09008437,Short Term
0.00525544,ETH,01/16/2022,01/17/2022,16.90098519,19.98129724,-3.08031205,Short Term
0.00187500,ETH,01/17/2022,01/17/2022,6.22461329,6.62942404,-0.40481075,Short Term
0.00802405,ETH,01/17/2022,01/17/2022,13.64357437,47.54238489,-33.89881052,Short Term
0.00396900,ETH,01/17/2022,01/17/2022,13.18080913,13.18378919,-0.00298006,Short Term
0.00934952,ETH,01/17/2022,01/17/2022,30.06712962,44.23701994,-14.16989032,Short Term
0.00228900,ETH,01/17/2022,01/17/2022,7.37962641,7.39473140,-0.01510499,Short Term
0.00336410,ETH,01/17/2022,01/17/2022,10.81862115,13.05529161,-2.23667047,Short Term
0.00067427,ETH,05/12/2022,09/09/2022,1.15651733,1.33362728,-0.17710996,Short Term
0.00304803,ETH,05/12/2022,09/09/2022,5.22802177,6.02864506,-0.80062329,Short Term
0.00082328,ETH,05/12/2022,09/09/2022,1.41209706,1.62834669,-0.21624963,Short Term
0.00097431,ETH,05/12/2022,11/09/2022,1.07695856,1.92706888,-0.85011032,Short Term
0.00243600,ETH,05/12/2022,05/12/2022,4.81811440,0.00000000,4.81811440,Short Term
0.00087314,ETH,05/12/2022,05/12/2022,1.60550569,0.00000000,1.60550569,Short Term
0.01564171,ETH,09/11/2022,11/21/2022,17.25000000,27.86000000,-10.61000000,Short Term
0.35220300,LUNA,07/11/2021,01/08/2022,23.49089351,2.97434422,20.51654929,Short Term
0.00271500,LUNA,07/11/2021,01/08/2022,0.18231993,0.02292810,0.15939183,Short Term
0.00733600,LUNA,07/11/2021,01/09/2022,0.54713267,0.06195231,0.48518036,Short Term
1.91022900,LUNA,07/11/2021,05/17/2022,0.00035980,16.13182904,-16.13146924,Short Term
0.76344500,LUNA,07/21/2021,05/17/2022,0.00014380,5.04589084,-5.04574704,Short Term
2.94155500,LUNA,07/21/2021,05/17/2022,0.00055406,19.44182675,-19.44127270,Short Term
0.03775800,LUNA,01/08/2022,01/08/2022,2.53555649,2.53555649,0.00000000,Short Term
0.04779700,LUNA,01/08/2022,01/08/2022,3.18791787,3.20970373,-0.02178586,Short Term
0.00013300,LUNA,01/09/2022,01/09/2022,0.00991939,0.00991939,0.00000000,Short Term
0.00438600,LUNA,01/17/2022,01/18/2022,0.35536895,0.34508045,0.01028851,Short Term
0.00500900,LUNA,01/17/2022,01/18/2022,0.40584658,0.39409666,0.01174992,Short Term
0.00646800,LUNA,01/17/2022,01/18/2022,0.52405982,0.50888744,0.01517238,Short Term
0.00747700,LUNA,01/17/2022,01/18/2022,0.60581251,0.58827325,0.01753925,Short Term
0.80966000,LUNA,01/17/2022,05/17/2022,0.00015250,63.70219645,-63.70204394,Short Term
0.01500000,LUNA,01/18/2022,01/18/2022,1.23478736,0.03500000,1.19978736,Short Term
0.10500000,LUNA,01/18/2022,05/17/2022,0.00001978,0.24968640,-0.24966662,Short Term
0.00236400,LUNA,01/18/2022,01/18/2022,0.19153949,0.19153949,0.00000000,Short Term
0.00173100,LUNA,01/18/2022,01/18/2022,0.14025163,0.14025163,0.00000000,Short Term
0.00000100,LUNA,01/18/2022,01/18/2022,0.00008102,0.00008102,0.00000000,Short Term
0.01500000,LUNA,03/12/2022,03/12/2022,1.30224347,1.38037338,-0.07812991,Short Term
0.00244800,LUNA,03/12/2022,03/12/2022,0.21100010,0.22681401,-0.01581391,Short Term
2.04000000,LUNA,03/12/2022,03/12/2022,175.62241415,189.01167549,-13.38926135,Short Term
0.00438000,LUNA,03/12/2022,03/12/2022,0.37752468,0.40581919,-0.02829450,Short Term
0.00642500,LUNA,03/12/2022,04/05/2022,0.74934296,0.59529413,0.15404884,Short Term
0.02074700,LUNA,03/12/2022,05/17/2022,0.00000391,1.92226727,-1.92226336,Short Term
0.45186400,LUNA,05/17/2022,05/17/2022,0.00008511,0.00008511,0.00000000,Short Term
0.00435300,LUNA,05/17/2022,05/17/2022,0.00000082,0.00000082,0.00000000,Short Term
1.13000000,LUNA,05/25/2022,05/25/2022,0.00022911,0.00000000,0.00022911,Short Term
59.10000000,REN,12/05/2021,11/15/2022,4.71000000,37.68889740,-32.97889740,Short Term
500.00000000,RVN,11/17/2021,01/17/2022,44.75827151,61.31052632,-16.55225481,Short Term
0.00019700,USDC,11/03/2021,07/18/2022,0.00019683,0.00019700,-0.00000017,Short Term
0.00404100,USDC,11/20/2021,07/18/2022,0.00403749,0.00404100,-0.00000351,Short Term
0.00010400,USDC,12/04/2021,07/18/2022,0.00010391,0.00010400,-0.00000009,Short Term
44.63259100,USDC,01/17/2022,01/17/2022,42.97599046,44.70095385,-1.72496339,Short Term
0.05723000,USDC,01/17/2022,09/02/2022,0.05698853,0.05731766,-0.00032913,Short Term
7.68837200,USDC,01/17/2022,01/17/2022,7.40300741,7.70014813,-0.29714072,Short Term
14.46637500,USDC,01/17/2022,01/17/2022,13.92943542,14.48853286,-0.55909744,Short Term
5.00000000,USDC,07/17/2022,07/17/2022,5.00000000,5.00000000,0.00,Short Term
5.00000000,USDC,07/17/2022,07/18/2022,3.98000000,5.00000000,-1.02000000,Short Term
5.00000000,USDC,07/17/2022,07/18/2022,5.00000000,5.00000000,0.00,Short Term
5.00000000,USDC,07/17/2022,07/18/2022,4.99566177,5.00000000,-0.00433823,Short Term
22.19528100,USDC,09/02/2022,09/02/2022,22.10163330,22.18409835,-0.08246505,Short Term
15.00000000,USDC,09/09/2022,09/13/2022,15.00000000,15.33829825,-0.33829825,Short Term
8.00000000,USDC,09/09/2022,09/13/2022,8.00000000,8.18042574,-0.18042574,Short Term
36.00000000,USDC,09/09/2022,09/13/2022,36.00000000,36.81191581,-0.81191581,Short Term
0.01700000,FTM,01/06/2022,01/06/2022,0.04618900,0.04618900,0.00000000,Short Term
16.00000000,FTM,01/06/2022,01/06/2022,44.62250000,43.51551552,1.10698448,Short Term
0.00800000,FTM,01/08/2022,01/08/2022,0.02118720,0.02118720,0.00000000,Short Term
